regulator,account_holder,account_type,account_status,operator_id,permit_id,installation_name,first_year,last_year,recorded_emissions_2021,recorded_emissions_2022,recorded_emissions_2023,recorded_emissions_2024,cumulative_emissions,cumulative_surrenders,surrender_status_2021,surrender_status_2022,surrender_status_2023,surrender_status_2024,nace_code,nace_description,regulated_activity,alloc_entitlement_2025,alloc_delivered_2025,alloc_entitlement_2026,alloc_delivered_2026,cps_scope,cps_scope_rule
EA,Alderley Park Limited,OPERATOR_HOLDING_ACCOUNT,OPEN,1000004,UK-E-IN-13694,Alderley Park Energy Centre,2021,,14169.0,19902.0,19385.0,16802.0,70258,70258,A,A,A,A,3530,Steam and air conditioning supply,COMBUSTION_OF_FUELS,1521,1521,1521,1521,CPS_CHP_FLAG,R4_chp_nace3530_combustion
EA,Birmingham District Energy Company Limited,OPERATOR_HOLDING_ACCOUNT,CLOSED,1000027,UK-E-IN-12001,Aston University Energy Centre,2021,2023,7940.0,7776.0,2748.0,,18464,18464,A,A,A,,3530,Steam and air conditioning supply,COMBUSTION_OF_FUELS,0,0,0,0,CPS_CHP_FLAG,R4_chp_nace3530_combustion
EA,Birmingham District Energy Company Limited,OPERATOR_HOLDING_ACCOUNT,OPEN,1000028,UK-E-IN-12652,Broadstreet Energy Scheme,2021,,8788.0,10447.0,9964.0,11022.0,40221,40221,A,A,A,A,3530,Steam and air conditioning supply,COMBUSTION_OF_FUELS,902,902,1325,1325,CPS_CHP_FLAG,R4_chp_nace3530_combustion
EA,D200 Energy Limited,OPERATOR_HOLDING_ACCOUNT,OPEN,1000077,UK-E-IN-13245,D200 Energy Centre,2021,,50217.0,45893.0,46188.0,40596.0,182894,182894,A,A,A,A,3530,Steam and air conditioning supply,COMBUSTION_OF_FUELS,3711,3979,5090,5090,CPS_CHP_FLAG,R4_chp_nace3530_combustion
EA,East London Energy Limited,OPERATOR_HOLDING_ACCOUNT,OPEN,1000089,UK-E-IN-12010,Kings Yard CCHP Energy Centre,2021,,18673.0,18576.0,19792.0,14501.0,71542,71542,A,A,A,A,3530,Steam and air conditioning supply,COMBUSTION_OF_FUELS,2530,2530,0,0,CPS_CHP_FLAG,R4_chp_nace3530_combustion
EA,East London Energy Limited,OPERATOR_HOLDING_ACCOUNT,OPEN,1000090,UK-E-IN-12011,Stratford CCHP Energy Centre,2021,,20750.0,22549.0,22950.0,20413.0,86662,86662,A,A,A,A,3530,Steam and air conditioning supply,COMBUSTION_OF_FUELS,2031,2031,2743,2743,CPS_CHP_FLAG,R4_chp_nace3530_combustion
EA,Equans FM Limited,OPERATOR_HOLDING_ACCOUNT,OPEN,1000106,UK-E-IN-12926,Whitehall District Heating Scheme,2021,,6699.0,5759.0,5385.0,5470.0,23313,23313,A,A,A,A,3530,Steam and air conditioning supply,COMBUSTION_OF_FUELS,958,958,0,0,CPS_CHP_FLAG,R4_chp_nace3530_combustion
EA,Equans Services Limited,OPERATOR_HOLDING_ACCOUNT,OPEN,1000107,UK-E-IN-13440,Leeds Generation Station Complex,2021,,48668.0,44859.0,47138.0,43910.0,184575,184575,A,A,A,A,3530,Steam and air conditioning supply,COMBUSTION_OF_FUELS,3940,3940,5135,5135,CPS_CHP_FLAG,R4_chp_nace3530_combustion
EA,Nottingham City Council,OPERATOR_HOLDING_ACCOUNT,OPEN,1000109,UK-E-IN-14148,London Road Heat Station,2021,,1402.0,1247.0,1575.0,1985.0,6209,6209,A,A,A,A,3530,Steam and air conditioning supply,COMBUSTION_OF_FUELS,286,286,286,286,CPS_CHP_FLAG,R4_chp_nace3530_combustion
EA,ExCel District Energy Company Limited,OPERATOR_HOLDING_ACCOUNT,OPEN,1000123,UK-E-IN-13015,ExCel District Energy Company Limited,2021,,7369.0,4249.0,4440.0,5021.0,21079,21079,A,A,A,A,3530,Steam and air conditioning supply,COMBUSTION_OF_FUELS,445,445,572,572,CPS_CHP_FLAG,R4_chp_nace3530_combustion
EA,BRING ENERGY LIMITED,OPERATOR_HOLDING_ACCOUNT,OPEN,1000172,UK-E-IN-15145,Humber Energy,2021,,88254.0,86119.0,81927.0,94423.0,350723,350723,A,A,A,A,3530,Steam and air conditioning supply,COMBUSTION_OF_FUELS,28092,28092,38725,38725,CPS_CHP_FLAG,R4_chp_nace3530_combustion
EA,Industrial Energy Services Limited,OPERATOR_HOLDING_ACCOUNT,CLOSED,1000173,UK-E-IN-11921,ELYO CHP Plant at Kellogg,2021,2022,24348.0,13758.0,,,38106,38106,A,A,,,3530,Steam and air conditioning supply,COMBUSTION_OF_FUELS,0,0,0,0,CPS_CHP_FLAG,R4_chp_nace3530_combustion
EA,Leicester District Energy Company Limited,OPERATOR_HOLDING_ACCOUNT,OPEN,1000205,UK-E-IN-12597,Leicester District Energy Company Limited,2021,,19032.0,15424.0,17511.0,15893.0,67860,67860,A,A,A,A,3530,Steam and air conditioning supply,COMBUSTION_OF_FUELS,1895,1895,2265,2265,CPS_CHP_FLAG,R4_chp_nace3530_combustion
EA,Saltend Chemicals Park Limited,OPERATOR_HOLDING_ACCOUNT,OPEN,1000302,UK-E-IN-13511,Saltend Chemicals Park,2021,,2454.0,1439.0,45175.0,59459.0,108527,108527,A,A,A,A,3530,Steam and air conditioning supply,COMBUSTION_OF_FUELS,9825,9825,9825,9825,CPS_CHP_FLAG,R4_chp_nace3530_combustion
EA,Southampton Geothermal Heating Company Limited (The),OPERATOR_HOLDING_ACCOUNT,OPEN,1000327,UK-E-IN-11598,Southampton Geothermal Heating Company,2021,,15720.0,12131.0,16649.0,14341.0,58841,58841,A,A,A,A,3530,Steam and air conditioning supply,COMBUSTION_OF_FUELS,1390,1390,0,0,CPS_CHP_FLAG,R4_chp_nace3530_combustion
EA,EQUANS URBAN ENERGY LIMITED,OPERATOR_HOLDING_ACCOUNT,OPEN,1000725,UK-E-IN-13967,Battersea Powerstation Energy Centre,2021,2024,1824.0,7673.0,10873.0,1653.0,22023,22023,A,A,A,A,3530,Steam and air conditioning supply,COMBUSTION_OF_FUELS,0,0,0,0,CPS_CHP_FLAG,R4_chp_nace3530_combustion
